N,P,K,temperature,humidity,ph,rainfall,label
115.97,79.83,44.89,27.36,87.85,6.43,173.34,banana
97.7,58.2,35.28,27.83,84.29,6.15,169.3,jute
86.04,49.37,48.74,30.52,76.2,7.16,184.51,jute
90.7,12.25,49.57,28.08,91.98,6.86,24.97,muskmelon
0.98,19.71,5.46,10.77,87.75,6.62,127.28,orange
1.66,88.76,80.93,26.1,23.39,6.7,73.92,chickpea
67.43,47.85,50.26,22.87,83.9,6.32,234.0,rice
95.01,15.18,52.46,29.68,85.91,5.76,60.09,watermelon
109.33,19.48,54.26,26.45,93.13,6.91,24.02,muskmelon
119.19,26.22,22.78,21.35,75.96,6.95,78.66,cotton
18.01,23.14,37.82,32.15,49.48,5.91,90.9,mango
90.41,69.67,23.54,22.84,70.26,6.51,78.81,maize
7.14,69.72,19.76,30.05,47.99,6.0,178.16,pigeonpeas
10.76,9.21,11.54,12.81,89.89,6.3,128.14,orange
111.5,21.02,29.9,21.16,82.5,6.4,75.2,cotton
7.85,52.35,24.07,28.34,39.19,6.2,57.49,mothbeans
14.94,26.76,30.06,19.48,91.42,6.44,103.56,pomegranate
108.08,9.81,52.26,27.47,93.42,7.03,25.78,muskmelon
105.63,18.0,52.48,27.26,85.34,6.0,64.51,watermelon
2.26,17.0,9.28,19.3,94.94,6.16,129.25,orange
1.32,120.19,202.85,12.84,94.35,5.47,93.96,apple
68.47,52.38,42.34,29.32,82.88,6.2,152.73,jute
16.0,127.46,180.08,14.22,81.06,5.91,60.77,grapes
3.57,122.48,193.88,17.05,88.75,6.06,74.7,grapes
3.89,28.1,38.19,32.01,55.72,6.27,54.34,mango
96.55,16.28,50.54,27.93,83.09,5.97,61.33,watermelon
28.57,61.08,26.25,27.31,74.02,7.19,56.13,blackgram
106.51,12.88,50.43,23.71,93.5,6.21,26.2,muskmelon
36.88,78.67,19.77,14.49,19.97,5.44,131.7,kidneybeans
8.23,42.97,22.1,28.24,80.31,6.72,26.54,mungbean
4.46,24.56,27.31,33.51,49.96,7.38,104.08,mango
5.97,6.58,32.48,29.42,94.53,6.84,160.11,coconut
5.89,58.6,23.53,25.23,71.17,6.25,62.34,lentil
101.65,13.32,49.11,24.79,84.1,5.42,52.2,watermelon
0.4,19.43,9.82,13.37,91.55,6.23,144.67,orange
111.35,29.9,33.01,25.81,57.26,6.38,195.67,coffee
5.94,18.71,35.88,24.02,90.06,6.03,123.93,pomegranate
111.11,83.38,40.51,32.58,76.85,6.93,177.29,banana
29.02,51.96,22.48,25.43,47.44,6.61,56.3,mothbeans
19.57,125.39,194.59,9.47,84.01,5.78,60.81,grapes
91.41,8.94,51.83,24.86,92.32,7.23,30.35,muskmelon
111.81,28.72,19.22,21.7,83.04,6.35,90.44,cotton
46.26,65.09,55.02,31.25,96.98,7.05,133.04,papaya
38.7,68.84,81.31,25.21,17.9,8.07,72.6,chickpea
115.61,34.36,39.36,24.01,69.08,6.08,151.55,coffee
59.7,70.78,55.15,33.99,95.03,6.03,153.41,papaya
10.31,40.21,18.55,25.92,72.48,6.89,50.47,mungbean
13.76,27.27,43.62,31.55,61.48,7.2,95.15,mango
31.21,63.88,21.73,19.73,18.58,5.89,106.32,kidneybeans
31.79,99.58,85.64,17.71,23.72,6.96,74.79,chickpea
82.24,42.8,45.98,31.96,91.46,6.65,197.22,jute
38.59,60.24,28.23,30.28,77.18,6.87,45.52,blackgram
5.17,127.59,184.59,11.81,85.52,5.58,59.51,grapes
12.1,13.04,44.72,23.92,89.4,5.96,113.62,pomegranate
90.51,15.75,50.19,30.71,87.71,6.33,32.95,muskmelon
38.98,63.4,71.91,16.47,19.89,6.94,69.62,chickpea
71.52,51.11,47.0,27.48,70.38,6.0,180.11,jute
119.75,27.15,25.53,22.76,77.03,6.31,97.69,cotton
7.35,56.7,20.05,18.82,19.45,5.77,115.04,kidneybeans
105.2,13.53,51.81,29.85,82.34,5.53,64.29,watermelon
6.18,41.68,25.38,32.34,63.36,6.26,35.69,blackgram
16.9,78.8,18.74,21.2,72.48,6.92,48.59,lentil
95.88,74.81,30.31,18.45,57.25,6.15,65.66,maize
12.08,124.32,205.95,6.52,94.23,6.88,120.24,apple
109.61,29.14,20.52,27.48,79.38,5.89,81.76,cotton
91.84,55.82,56.97,21.47,88.27,6.71,177.05,rice
72.89,44.88,42.43,29.23,84.34,7.17,186.13,jute
64.56,65.3,38.12,20.59,69.47,6.01,82.76,maize
27.95,89.2,86.93,16.31,19.54,7.16,97.29,chickpea
18.51,47.06,24.78,28.44,56.79,6.7,55.57,mothbeans
30.8,73.94,24.61,18.56,18.52,5.8,152.63,kidneybeans
104.13,81.98,47.25,32.92,87.81,6.0,120.39,banana
7.69,40.32,17.32,27.81,81.55,7.23,36.59,mungbean
108.38,15.52,54.47,26.54,92.8,6.47,28.5,muskmelon
86.85,73.57,26.37,21.79,70.87,6.5,81.95,maize
100.87,35.78,27.75,24.01,73.35,6.54,193.33,coffee
35.24,43.69,22.0,31.79,87.52,6.26,62.73,mungbean
83.06,77.46,42.94,33.7,79.15,7.17,180.37,banana
56.32,74.45,50.3,31.85,93.08,7.29,129.2,papaya
11.18,15.86,31.95,34.4,47.19,6.72,81.24,mango
45.83,69.29,48.07,27.45,95.16,6.92,112.35,papaya
117.83,86.73,48.68,32.47,80.1,6.38,198.74,banana
104.27,11.1,52.9,28.08,88.74,7.31,21.83,muskmelon
15.26,49.65,21.64,25.27,63.57,6.99,36.75,blackgram
15.67,134.57,203.76,8.3,96.47,5.63,105.87,apple
115.25,36.21,36.42,25.13,56.57,6.31,224.74,coffee
100.99,26.6,23.16,22.92,82.96,6.37,96.68,cotton
58.91,57.12,40.55,32.75,98.74,6.35,164.3,papaya
105.39,76.58,47.78,35.03,80.27,6.01,123.01,banana
116.23,23.95,19.83,26.31,80.77,6.33,67.9,cotton
2.57,29.34,27.48,32.95,49.42,6.81,80.14,mango
9.53,79.68,71.2,24.89,23.7,7.64,73.94,chickpea
14.98,5.86,25.47,31.22,90.06,5.0,171.76,coconut
2.76,8.28,38.89,24.97,92.33,6.43,184.75,coconut
90.52,58.18,38.11,17.39,60.37,6.39,53.61,maize
39.26,60.89,25.17,34.47,71.86,7.25,60.58,blackgram
20.43,80.75,81.61,20.0,22.83,7.09,60.97,chickpea
16.35,16.2,40.29,33.48,46.45,6.76,81.68,mango
93.25,16.57,49.49,23.53,89.85,6.32,52.58,watermelon
27.74,80.43,78.36,16.0,21.42,7.12,65.22,chickpea
62.83,37.14,50.07,22.76,87.44,6.25,169.7,rice
76.97,37.5,55.36,20.71,83.13,6.08,187.18,rice
0.18,72.15,18.41,32.1,45.11,5.58,197.98,pigeonpeas
109.78,37.52,35.09,24.52,73.17,6.03,194.09,coffee
24.95,55.3,15.98,25.51,48.73,5.43,194.18,pigeonpeas
82.6,41.77,43.39,33.54,88.7,6.36,194.67,jute
108.39,13.27,47.54,25.46,89.71,6.69,29.04,muskmelon
91.3,11.47,50.74,29.42,83.48,6.6,63.19,watermelon
97.68,43.58,46.15,24.63,71.22,7.36,184.23,jute
106.8,35.31,37.5,23.28,64.95,6.03,204.65,coffee
0.06,79.85,15.17,22.32,55.6,6.64,47.31,lentil
8.21,8.58,43.22,31.6,92.04,5.84,156.67,coconut
80.35,53.64,24.02,19.16,65.86,6.28,74.62,maize
19.47,48.55,24.74,28.04,76.54,6.47,33.95,mungbean
2.15,15.0,25.62,26.14,45.06,6.36,42.23,mango
27.8,55.68,29.79,27.99,61.82,7.23,46.7,blackgram
11.74,64.55,20.86,23.41,64.82,7.46,61.51,lentil
8.4,68.65,16.66,17.63,76.45,7.05,36.23,lentil
118.97,85.61,50.64,33.18,88.49,6.58,176.34,banana
15.87,40.32,16.72,33.55,71.17,6.03,71.63,blackgram
112.16,22.06,29.65,23.99,75.6,6.06,73.25,cotton
14.78,56.07,17.07,23.5,22.04,5.66,134.65,kidneybeans
23.07,31.59,20.7,25.21,72.73,7.41,54.49,mungbean
15.74,72.4,21.12,25.95,68.22,5.88,187.83,pigeonpeas
0.43,26.18,39.13,21.29,93.74,5.82,137.17,pomegranate
3.52,16.15,11.85,13.18,94.03,7.32,126.7,orange
76.84,43.6,35.61,30.34,88.15,5.89,163.47,jute
108.12,28.4,25.17,27.72,80.89,6.16,99.21,cotton
8.34,65.62,15.28,19.46,61.0,7.08,31.74,lentil
3.18,1.84,32.01,31.82,93.38,6.73,204.14,coconut
1.15,130.63,199.5,4.35,98.23,6.03,125.71,apple
0.27,27.1,42.4,31.8,59.24,6.54,49.02,mango
28.97,63.57,19.53,21.01,19.74,5.88,116.42,kidneybeans
30.11,68.26,24.97,23.34,22.67,6.28,127.16,kidneybeans
48.04,73.3,41.58,30.82,95.33,6.32,167.15,papaya
54.61,57.56,43.95,28.38,96.3,6.43,132.4,papaya
75.37,56.68,43.45,28.42,79.55,6.36,153.69,jute
93.81,13.37,53.91,26.89,90.51,5.73,65.86,watermelon
95.36,9.86,45.66,27.69,83.14,6.28,48.11,watermelon
2.17,24.78,31.01,33.5,44.38,5.88,68.28,mango
47.02,68.98,48.0,28.1,99.83,6.61,173.85,papaya
58.05,58.67,42.88,32.21,93.38,6.88,158.86,papaya
12.63,63.95,17.4,23.69,61.09,7.21,43.12,lentil
107.24,22.08,21.75,26.46,79.08,6.09,74.78,cotton
109.97,18.48,52.15,24.94,95.81,6.54,23.64,muskmelon
10.66,92.65,88.35,16.12,23.3,7.48,101.37,chickpea
101.14,25.57,25.79,28.32,63.67,6.17,235.63,coffee
116.99,25.94,25.29,26.3,75.9,6.26,96.2,cotton
16.0,127.78,190.36,11.29,89.18,5.63,67.77,grapes
98.59,11.05,45.3,25.26,92.72,7.34,37.17,muskmelon
2.76,11.34,38.55,20.92,93.0,6.0,132.52,pomegranate
27.54,65.09,84.58,25.24,24.62,8.06,98.21,chickpea
2.53,58.63,24.34,24.0,63.19,5.34,123.7,pigeonpeas
1.93,9.93,11.98,10.85,94.02,6.5,109.41,orange
14.85,8.6,14.16,21.17,94.92,6.41,138.24,orange
53.8,69.95,51.79,29.19,95.84,6.09,167.75,papaya
94.9,42.69,36.35,23.71,82.45,6.93,223.3,rice
96.87,77.87,54.89,28.84,81.7,6.45,159.45,banana
97.35,15.83,48.39,25.41,90.73,7.51,33.22,muskmelon
2.54,67.27,26.93,26.91,70.94,6.85,48.0,blackgram
8.61,4.2,32.9,29.07,93.63,5.74,162.29,coconut
10.93,128.34,195.05,19.75,81.69,6.68,65.08,grapes
2.55,99.53,82.81,23.53,25.39,6.7,102.87,chickpea
94.44,16.52,47.85,26.28,95.33,6.39,29.85,muskmelon
13.09,133.91,200.33,1.6,93.33,6.82,123.43,apple
106.64,30.87,32.13,27.09,68.88,5.92,199.96,coffee
85.83,47.69,47.29,25.92,78.39,6.18,155.53,jute
5.6,22.81,43.32,30.11,48.4,6.01,53.7,mango
4.09,22.28,44.29,21.63,95.48,6.85,97.16,pomegranate
113.66,34.32,28.45,29.08,61.98,5.92,198.42,coffee
28.36,53.49,23.88,25.37,48.35,6.32,50.61,mothbeans
75.37,49.42,38.82,26.89,82.59,6.68,165.21,jute
7.03,126.8,191.68,17.84,88.84,5.87,80.96,grapes
14.24,12.38,47.95,23.36,94.19,5.56,117.77,pomegranate
10.35,64.7,21.3,20.52,21.9,6.34,123.6,kidneybeans
14.53,137.12,210.68,4.76,90.26,6.8,102.95,apple
15.92,5.01,32.77,25.06,87.68,6.76,156.51,coconut
3.08,71.09,17.12,16.04,20.04,5.91,116.68,kidneybeans
68.16,68.2,26.25,23.59,72.53,5.67,70.62,maize
69.11,43.49,37.72,29.57,72.86,7.09,180.03,jute
106.67,19.06,28.54,26.5,83.96,6.32,95.26,cotton
18.32,124.58,189.35,14.29,80.96,6.53,66.42,grapes
93.91,69.61,37.16,24.73,66.6,5.67,75.17,maize
11.8,76.48,81.01,15.53,16.73,7.63,90.95,chickpea
1.61,60.47,19.73,18.98,62.13,7.51,44.8,lentil
4.25,53.08,19.71,35.37,43.05,6.43,55.13,mothbeans
1.94,60.11,19.74,23.07,57.55,6.79,55.04,lentil
5.36,138.09,211.63,9.33,91.56,6.57,132.87,apple
108.96,75.52,45.03,28.75,90.67,5.77,129.65,banana
14.83,68.67,19.76,16.9,62.66,6.88,42.57,lentil
63.28,30.58,46.18,26.32,88.99,6.48,167.69,rice
34.65,39.76,23.0,31.15,78.3,7.01,49.34,mungbean
25.84,55.98,22.07,31.08,79.72,6.12,47.37,mungbean
98.45,74.9,52.06,35.52,79.93,5.6,189.29,banana
60.81,56.56,44.08,29.33,81.14,6.73,160.29,jute
87.62,48.82,33.06,26.05,80.12,6.99,209.74,rice
17.5,66.51,15.54,16.1,60.4,6.12,48.83,lentil
11.29,49.19,15.33,31.0,53.47,7.09,50.56,mothbeans
11.25,27.21,40.37,26.38,54.84,5.52,88.01,mango
61.68,78.0,30.31,25.32,69.86,5.77,100.11,maize
1.28,42.36,23.07,30.51,57.87,6.1,25.67,mothbeans
1.58,126.87,202.4,8.91,96.69,6.98,100.06,apple
10.77,18.44,10.43,16.03,88.01,7.1,130.64,orange
59.98,64.24,58.98,31.62,98.1,7.31,175.88,papaya
12.82,5.66,43.03,28.78,88.89,5.86,175.74,coconut
40.09,73.28,45.9,29.77,92.95,7.03,130.94,papaya
114.03,31.54,26.6,24.4,67.15,6.42,235.98,coffee
9.57,8.52,8.27,18.47,92.34,6.99,133.39,orange
102.83,73.57,43.18,32.7,80.12,6.51,135.27,banana
83.63,56.35,38.05,29.18,90.0,6.88,167.71,jute
11.74,62.34,23.27,22.18,55.4,6.19,51.88,lentil
94.04,11.34,48.02,28.64,92.53,6.89,33.7,muskmelon
113.67,22.29,22.98,23.97,84.43,6.82,92.1,cotton
16.26,139.68,180.1,11.95,83.63,6.92,67.17,grapes
69.1,30.71,35.79,23.67,80.83,6.23,238.74,rice
78.66,58.02,24.96,18.58,68.26,6.04,64.16,maize
12.04,17.25,6.32,16.43,94.5,7.01,122.36,orange
105.15,18.3,51.31,26.22,95.0,6.1,27.72,muskmelon
19.39,16.51,43.25,18.13,86.33,6.5,115.91,pomegranate
25.79,61.78,19.45,22.93,25.77,6.13,137.38,kidneybeans
6.39,65.6,21.93,19.33,70.18,6.98,52.63,lentil
112.89,85.38,47.27,31.01,81.32,5.73,185.62,banana
15.36,66.62,16.96,33.2,79.16,7.04,78.92,blackgram
18.82,55.65,18.48,25.08,51.1,6.08,52.65,mothbeans
16.29,35.08,21.14,28.53,77.86,6.4,43.57,mungbean
30.13,59.79,16.34,29.25,78.0,7.36,38.08,blackgram
92.46,79.39,58.06,25.86,83.41,6.41,186.35,banana
60.66,65.46,24.84,18.15,60.41,6.31,96.92,maize
2.92,8.57,8.28,13.48,93.85,7.42,133.14,orange
100.93,8.19,46.58,30.05,82.55,6.39,51.25,watermelon
2.09,10.84,9.86,14.37,91.49,6.8,133.74,orange
6.81,7.16,38.31,34.34,92.38,6.04,168.56,coconut
15.95,59.74,20.26,27.13,62.03,5.94,140.19,pigeonpeas
93.19,70.88,22.78,23.57,56.62,6.08,80.93,maize
91.14,60.99,27.66,21.59,73.05,6.25,69.96,maize
39.63,61.24,78.09,19.51,18.32,7.62,93.81,chickpea
97.32,70.89,22.75,22.42,68.01,6.54,69.41,maize
84.1,62.78,33.8,22.37,62.58,7.45,111.22,maize
96.0,17.61,46.75,29.24,89.47,6.71,25.57,muskmelon
6.35,79.91,19.86,21.38,55.89,6.09,44.35,lentil
38.71,59.75,20.74,26.69,75.63,6.02,38.96,blackgram
8.89,11.57,6.37,19.24,91.44,6.92,153.36,orange
6.0,29.42,47.55,24.11,88.52,6.76,99.99,pomegranate
62.67,40.97,39.97,29.2,79.1,7.42,174.39,jute
108.01,81.21,55.14,29.39,78.9,5.47,134.55,banana
13.78,120.64,205.56,15.49,81.87,6.22,72.55,grapes
107.9,12.82,48.9,25.32,80.81,6.4,77.69,watermelon
10.54,1.47,28.62,25.85,92.28,5.47,198.32,coconut
95.78,15.46,45.42,27.1,82.53,6.48,51.21,watermelon
78.33,59.95,59.88,20.66,90.1,6.89,170.36,rice
16.72,6.07,33.13,32.33,94.58,5.93,163.5,coconut
17.18,9.51,7.44,10.28,91.18,7.44,133.85,orange
90.4,84.32,42.42,32.17,74.37,6.21,135.72,banana
25.78,67.51,20.97,31.65,63.07,6.67,40.25,blackgram
42.38,70.97,40.46,35.01,95.72,6.97,147.25,papaya
6.22,55.0,26.51,27.05,78.7,7.03,53.52,blackgram
17.79,128.71,204.45,9.65,89.42,5.7,77.53,grapes
46.83,67.19,51.5,32.76,94.74,6.7,152.4,papaya
100.33,24.73,26.62,25.93,77.87,6.96,68.93,cotton
34.86,33.19,20.34,25.42,79.95,7.21,38.52,mungbean
12.56,67.44,23.05,17.12,73.46,7.21,44.0,lentil
84.44,72.69,55.0,28.38,76.26,5.71,111.98,banana
7.49,75.42,23.2,19.97,77.03,6.43,50.57,lentil
73.19,53.67,27.07,23.33,67.41,7.36,76.15,maize
42.01,69.6,57.45,29.39,92.32,7.13,169.74,papaya
23.49,43.65,21.7,31.04,90.02,6.35,55.73,mungbean
63.94,79.44,29.39,25.38,62.79,6.64,65.8,maize
1.91,9.79,30.32,31.61,90.29,6.17,190.15,coconut
85.92,75.77,44.42,28.28,89.8,5.66,139.75,banana
10.24,28.45,47.73,25.25,94.49,6.69,151.27,pomegranate
25.91,73.88,20.47,21.37,17.51,5.74,105.76,kidneybeans
26.53,59.26,18.58,18.19,17.23,6.76,152.73,kidneybeans
4.78,88.32,84.03,17.57,22.26,7.47,93.5,chickpea
3.81,23.81,25.85,27.66,59.09,7.3,93.99,mango
12.31,130.52,204.95,12.42,83.14,6.45,68.02,grapes
60.37,45.64,37.76,32.59,75.67,6.05,185.88,jute
34.43,72.8,24.36,21.67,21.37,5.89,120.04,kidneybeans
79.05,53.32,47.5,31.56,82.13,6.27,191.68,jute
7.67,41.35,18.74,31.59,70.82,6.97,59.43,mungbean
15.03,16.76,12.54,17.72,95.47,6.75,109.41,orange
105.25,8.78,49.54,25.91,91.3,6.84,56.11,watermelon
108.55,18.86,52.41,25.23,82.57,6.62,59.49,watermelon
12.97,73.3,19.23,17.06,66.36,6.6,54.22,lentil
27.78,61.35,24.62,28.45,70.46,5.88,128.43,pigeonpeas
44.48,74.31,48.2,28.23,93.52,6.18,156.72,papaya
60.82,34.57,33.79,24.17,86.72,6.72,268.13,rice
10.26,5.39,35.35,34.27,89.03,5.42,187.93,coconut
4.64,4.01,43.88,33.44,93.54,6.08,153.26,coconut
117.7,26.3,23.65,24.08,81.52,6.71,93.06,cotton
74.32,54.81,36.41,32.97,82.13,6.35,153.62,jute
74.05,55.85,37.42,26.04,80.92,6.32,192.05,jute
0.35,19.62,8.57,11.65,88.73,6.19,147.05,orange
95.03,37.9,45.02,22.63,81.93,6.41,262.56,rice
27.07,70.67,17.49,21.7,21.12,6.48,122.99,kidneybeans
10.49,26.59,30.2,21.09,95.07,6.03,134.0,pomegranate
82.51,39.12,59.82,20.93,86.55,5.73,215.63,rice
6.01,0.46,33.33,28.67,90.73,5.38,192.0,coconut
90.8,33.2,42.75,22.16,80.19,5.94,265.71,rice
35.21,63.72,80.31,18.49,24.08,6.83,89.44,chickpea
38.33,67.6,21.94,18.78,21.98,6.3,132.88,kidneybeans
22.92,57.18,19.11,32.59,69.08,6.85,37.11,blackgram
99.5,8.39,54.8,25.8,90.7,6.89,11.86,muskmelon
105.28,26.05,23.52,27.14,75.56,6.03,87.4,cotton
97.37,18.72,48.08,23.26,95.51,6.5,25.09,muskmelon
12.95,129.94,187.37,13.68,86.66,5.66,76.81,grapes
19.06,57.04,21.73,30.12,84.3,6.84,25.29,mungbean
2.62,71.76,22.74,23.32,21.98,6.72,131.04,kidneybeans
98.86,45.93,57.4,25.75,86.68,6.71,162.73,rice
107.68,14.37,54.01,28.58,84.99,6.24,55.6,watermelon
73.39,51.65,37.37,25.7,86.72,7.21,162.26,jute
90.59,84.15,47.01,34.12,88.37,6.09,195.14,banana
15.54,137.09,186.5,13.35,88.66,6.77,65.42,grapes
106.65,9.97,52.52,23.53,86.96,6.58,59.44,watermelon
39.61,62.73,20.87,30.02,65.41,7.24,65.49,blackgram
102.54,22.67,28.98,23.86,81.82,6.09,59.5,cotton
14.71,22.96,38.1,34.67,47.65,5.53,87.73,mango
25.34,65.08,24.65,19.35,20.77,5.44,118.03,kidneybeans
61.86,52.23,38.51,25.0,73.47,6.26,86.02,maize
13.95,56.96,23.9,24.59,69.1,5.04,124.59,pigeonpeas
60.76,59.41,23.03,22.36,74.33,7.24,55.12,maize
106.12,89.48,48.21,31.04,83.93,6.87,189.8,banana
102.13,10.81,49.26,29.66,89.88,6.84,59.75,watermelon
66.64,39.23,52.47,23.89,87.39,6.66,221.99,rice
3.51,18.86,14.45,17.49,90.55,5.58,103.42,orange
94.77,75.84,46.31,32.85,77.76,5.73,109.24,banana
70.54,59.53,43.62,29.31,84.85,6.79,180.98,jute
27.39,66.11,29.57,26.66,74.6,6.59,40.36,blackgram
10.78,135.12,181.34,11.05,88.69,6.38,69.89,grapes
2.54,22.61,32.94,22.7,85.54,6.61,97.04,pomegranate
11.9,13.68,13.33,18.02,95.46,6.12,149.65,orange
17.91,21.87,37.4,21.92,90.83,6.42,114.1,pomegranate
16.34,135.88,196.06,8.61,90.81,6.14,124.72,apple
11.12,18.67,13.82,15.95,93.25,5.95,132.65,orange
113.18,20.95,29.22,24.73,80.51,6.54,90.19,cotton
1.97,13.9,6.56,9.79,92.92,6.09,129.86,orange
85.73,70.8,32.2,19.56,60.78,7.42,64.31,maize
117.3,37.67,39.25,26.58,74.44,6.02,159.95,coffee
75.3,76.09,38.14,20.52,64.44,6.77,79.42,maize
26.68,33.87,16.99,31.73,90.49,6.46,32.05,mungbean
16.35,41.16,28.82,28.37,68.46,6.52,48.78,blackgram
91.54,60.34,34.66,23.2,60.04,5.41,56.14,maize
39.52,95.27,79.84,17.74,16.58,6.43,96.69,chickpea
55.21,73.8,53.67,31.17,94.72,6.03,149.06,papaya
102.28,18.56,46.37,23.13,93.66,6.57,26.94,muskmelon
7.04,83.7,86.12,22.14,21.58,7.78,65.03,chickpea
116.22,35.34,36.02,28.05,56.12,6.16,173.13,coffee
94.46,17.37,52.76,24.71,81.55,6.56,49.79,watermelon
71.32,53.09,43.85,31.27,75.92,7.46,166.89,jute
3.89,24.87,33.78,34.26,53.25,6.77,62.95,mango
1.36,47.23,22.33,33.0,67.1,7.08,57.96,blackgram
105.88,19.82,52.8,26.18,93.11,6.5,49.38,watermelon
17.7,11.56,6.84,18.94,90.2,7.25,114.36,orange
6.62,11.22,39.37,18.49,88.29,6.52,139.28,pomegranate
16.38,9.0,13.51,11.61,89.07,5.98,126.71,orange
1.02,57.33,23.23,33.59,57.01,7.57,48.25,mothbeans
94.05,18.99,49.01,27.6,83.56,7.12,42.84,watermelon
9.59,57.57,16.35,26.51,59.27,6.68,64.04,mothbeans
3.91,19.71,7.94,14.56,91.41,6.41,116.17,orange
5.57,68.26,74.14,15.21,20.58,6.62,66.73,chickpea
6.47,10.45,11.17,16.3,89.91,6.64,94.26,orange
9.04,17.13,40.01,29.63,49.83,7.41,46.97,mango
108.23,16.97,52.72,24.71,94.51,6.71,27.32,muskmelon
16.62,8.39,12.91,19.15,93.0,6.61,156.17,orange
82.47,57.63,47.8,33.36,71.37,7.54,157.56,jute
117.06,35.18,28.6,23.5,74.59,6.49,197.93,coffee
42.15,63.5,49.57,28.56,95.55,6.62,167.51,papaya
28.57,49.75,26.47,32.0,76.83,6.62,32.47,blackgram
65.84,44.44,44.91,31.86,87.61,6.33,144.07,jute
99.07,16.4,49.03,29.7,90.81,5.74,40.46,watermelon
66.57,44.91,47.88,24.42,78.16,7.44,197.69,jute
78.08,51.71,36.63,19.65,65.82,6.39,91.07,maize
23.68,43.43,17.6,31.19,40.63,6.65,58.55,mothbeans
10.84,127.26,202.28,12.87,81.98,6.26,62.04,grapes
38.36,72.06,18.21,24.9,21.45,6.08,113.84,kidneybeans
103.65,17.51,48.69,29.05,89.69,6.51,58.43,watermelon
10.24,41.95,18.45,27.87,46.14,7.11,25.93,mothbeans
112.47,24.81,27.56,22.48,74.37,6.6,74.38,cotton
99.79,19.91,52.96,30.09,84.99,6.52,68.37,watermelon
16.48,121.18,205.93,10.52,95.61,5.78,117.52,apple
27.9,59.36,18.92,29.3,71.35,7.44,64.03,blackgram
26.76,58.73,15.9,20.06,19.34,5.93,122.92,kidneybeans
8.69,58.88,24.81,31.36,59.17,6.82,49.48,mothbeans
86.33,57.6,36.5,26.81,84.24,6.74,179.54,jute
94.97,87.31,49.7,26.2,88.36,5.61,129.43,banana
74.92,55.64,45.57,34.18,87.26,7.25,209.46,jute
107.88,16.29,50.58,25.73,94.85,6.96,23.94,muskmelon
13.11,12.62,44.81,20.16,92.42,6.63,141.95,pomegranate
5.77,79.24,19.99,21.41,74.45,6.89,38.55,lentil
1.33,121.7,206.75,9.26,83.19,6.27,52.13,grapes
14.71,45.23,18.44,31.71,39.92,6.95,36.93,mothbeans
99.13,8.46,51.73,25.41,89.1,6.77,61.24,watermelon
90.99,82.95,46.47,26.41,78.21,5.68,98.14,banana
8.56,13.48,14.33,10.38,90.91,6.72,140.58,orange
17.05,62.52,18.11,25.81,68.8,6.31,38.03,lentil
33.58,41.4,18.51,30.5,70.3,7.03,40.23,mungbean
13.55,15.55,8.39,19.15,92.42,6.97,115.38,orange
104.73,86.86,55.02,27.55,87.39,6.15,126.55,banana
8.5,5.79,29.15,33.65,89.48,5.95,175.91,coconut
6.35,17.83,38.84,21.33,91.87,6.05,116.59,pomegranate
104.92,27.95,18.15,24.12,77.45,5.83,84.75,cotton
9.76,66.98,73.2,21.16,18.27,6.3,57.06,chickpea
101.35,27.07,36.91,23.88,71.1,6.55,176.17,coffee
70.16,37.66,30.28,26.61,80.7,6.09,251.33,rice
2.49,21.37,36.42,20.24,90.4,6.31,141.0,pomegranate
98.81,19.16,48.81,26.15,90.11,6.33,28.43,muskmelon
6.84,41.37,18.57,26.38,80.21,6.44,34.27,blackgram
3.34,66.25,15.23,26.57,55.54,5.36,115.0,pigeonpeas
105.22,18.25,45.9,27.99,89.18,6.4,57.95,watermelon
11.9,10.28,10.82,17.38,89.71,6.44,119.86,orange
27.45,59.37,24.77,20.8,18.46,5.74,128.48,kidneybeans
10.58,45.35,21.8,28.45,50.08,7.17,55.83,mothbeans
52.53,65.89,59.51,35.23,93.31,7.36,158.69,papaya
101.77,16.0,46.24,26.67,92.28,6.85,30.05,muskmelon
63.64,31.41,33.29,24.61,79.62,6.2,295.51,rice
16.0,55.39,15.41,17.61,60.93,6.64,41.13,lentil
0.39,54.31,23.34,27.33,78.81,7.08,29.66,mungbean
25.55,49.17,16.71,29.26,54.9,7.23,57.14,mothbeans
15.74,23.32,36.54,28.45,50.32,6.84,78.99,mango
2.9,62.36,24.47,24.6,23.14,6.27,115.94,kidneybeans
3.05,76.67,16.15,16.91,70.18,7.4,64.53,lentil
7.88,77.9,21.45,17.61,66.78,7.41,32.21,lentil
7.25,1.55,42.08,31.51,89.41,5.41,191.27,coconut
16.53,16.67,11.64,20.29,90.6,5.87,126.91,orange
103.74,16.4,49.6,26.66,91.96,7.16,27.34,muskmelon
3.25,125.81,189.94,10.17,83.57,6.4,75.48,grapes
14.95,121.34,209.79,9.75,83.1,6.55,64.64,grapes
15.4,75.98,20.58,25.96,19.58,6.89,95.65,kidneybeans
11.79,66.14,20.95,30.16,52.64,5.38,108.16,pigeonpeas
9.45,79.79,18.25,28.79,60.72,6.15,175.23,pigeonpeas
79.06,53.27,36.25,33.09,86.12,6.06,192.36,jute
11.41,53.45,24.53,27.78,79.05,6.65,57.43,blackgram
